"SARG number","meters north","meters east","start date","end date","median date","type","size","description","room count","elevation","baseline households","x","y"
2377,9278,5876,1000,1250,1225,2,-1,6,0,1907,1,61,96
2378,9704,6486,1000,1050,1025,1,980,1,-1,1934,1,67,101
2379,9805,6390,1250,1300,1270,2,50,6,0,1911,1,66,102
2381,9884,6558,1050,1150,1100,1,225,1,5,1911,1,68,103
2385,1384,1799,1075,1275,1250,1,225,5,0,2016,1,18,13
2387,3655,3749,1050,1150,1100,1,250,1,5,1984,1,38,37
2388,3611,3794,1050,1150,1100,1,210,1,4,1986,1,38,37
2389,3237,3706,1000,1100,1050,2,50,4,1,1996,1,38,33
2393,11106,6639,1150,1250,1200,1,40,1,4,1862,1,69,116
2394,11248,6405,1000,1150,1100,1,100,1,9,1913,2,66,117
2395,11333,6420,950,1050,1000,2,50,4,0,1881,1,67,118
2396,11121,6375,1000,1100,1025,1,810,1,11,1911,3,66,116
2398,11041,6078,1025,1075,1050,2,-1,8,0,1987,0,63,115
2399,11137,6214,1000,1050,1025,2,150,5,0,1952,1,64,116
2400,11046,6165,900,1100,950,1,2500,3,5,1960,5,64,115
2401,11024,6094,1000,1050,1025,1,150,1,6,1965,2,63,115
2403,6164,2748,1150,1300,1225,1,300,1,4,1954,1,27,63
2404,10805,6410,1025,1250,1125,2,-1,6,0,1885,1,66,113
2405,10995,6338,900,1025,1000,1,-1,3,4,1907,4,66,115
2406,10995,6338,1000,1150,1100,1,220,1,6,1907,2,66,115
2407,10943,6414,1000,1150,1075,2,75,4,-1,1882,1,67,114
2408,10946,6268,850,1000,950,1,1700,3,2,1920,2,65,114
2409,10946,6268,1000,1150,1100,1,1700,3,3,1920,3,65,114
2410,10814,6270,850,1000,900,1,-1,3,1,1911,1,65,113
2411,10896,6282,850,1000,950,1,240,3,1,1917,1,65,114
2412,10748,6309,900,1000,950,2,90,4,0,1903,1,65,112
2413,10683,6250,600,700,650,2,90,4,0,1896,1,65,111
2414,10565,6198,600,700,650,2,70,4,0,1878,1,64,110
2415,9872,5724,1050,1150,1100,2,-1,8,0,1890,0,59,103
2416,10583,6104,1000,1100,1075,2,50,5,0,1875,1,63,110
2417,10547,5843,1050,1300,1100,2,6,8,0,2012,0,60,110
2419,10439,5398,600,700,650,2,-1,6,0,2073,1,56,109
2420,10411,5323,1050,1150,1100,2,120,4,3,2076,1,55,108
2421,10394,5686,1050,1150,1100,1,150,1,6,2021,2,59,108
